Eyalet;Parti;Oy
Schleswig-Holstein;SPD;761302
Mecklenburg-Vorpommern;SPD;326130
Hamburg;SPD;447335
Niedersachsen;SPD;2249746
Bremen;SPD;184817
Brandenburg;SPD;608044
Sachsen-Anhalt;SPD;508573
Berlin;SPD;681591
Nordrhein-Westfalen;SPD;4658692
Sachsen;SPD;666709
Hessen;SPD;1415806
Thueringen;SPD;459850
Rheinland-Pfalz;SPD;946310
Bayern;SPD;1960561
Baden-Wuerttemberg;SPD;2013195
Saarland;SPD;240439
Schleswig-Holstein;CDU/CSU;733004
Mecklenburg-Vorpommern;CDU/CSU;316169
Hamburg;CDU/CSU;320444
Niedersachsen;CDU/CSU;1857583
Bremen;CDU/CSU;96120
Brandenburg;CDU/CSU;358754
Sachsen-Anhalt;CDU/CSU;404318
Berlin;CDU/CSU;483014
Nordrhein-Westfalen;CDU/CSU;4161570
Sachsen;CDU/CSU;940306
Hessen;CDU/CSU;1338785
Thueringen;CDU/CSU;420605
Rheinland-Pfalz;CDU/CSU;1024834
Bayern;CDU/CSU;3889990
Baden-Wuerttemberg;CDU/CSU;2720955
Saarland;CDU/CSU;214489
Schleswig-Holstein;Gruene;73345
Mecklenburg-Vorpommern;Gruene;34904
Hamburg;Gruene;85730
Niedersachsen;Gruene;224575
Bremen;Gruene;35147
Brandenburg;Gruene;44562
Sachsen-Anhalt;Gruene;39112
Berlin;Gruene;229849
Nordrhein-Westfalen;Gruene;433372
Sachsen;Gruene;94127
Hessen;Gruene;195060
Thueringen;Gruene;51835
Rheinland-Pfalz;Gruene;99769
Bayern;Gruene;449976
Baden-Wuerttemberg;Gruene;428574
Saarland;Gruene;18976
Schleswig-Holstein;FDP;65315
Mecklenburg-Vorpommern;FDP;42840
Hamburg;FDP;32904
Niedersachsen;FDP;186474
Bremen;FDP;13514
Brandenburg;FDP;66723
Sachsen-Anhalt;FDP;71965
Berlin;FDP;70471
Nordrhein-Westfalen;FDP;422724
Sachsen;FDP;176889
Hessen;FDP;158793
Thueringen;FDP;71968
Rheinland-Pfalz;FDP;130808
Bayern;FDP;353503
Baden-Wuerttemberg;FDP;321612
Saarland;FDP;22028
Schleswig-Holstein;Linke;48634
Mecklenburg-Vorpommern;Linke;231205
Hamburg;Linke;44503
Niedersachsen;Linke;168205
Bremen;Linke;25658
Brandenburg;Linke;423111
Sachsen-Anhalt;Linke;369268
Berlin;Linke;321714
Nordrhein-Westfalen;Linke;425709
Sachsen;Linke;590726
Hessen;Linke;142516
Thueringen;Linke;368228
Rheinland-Pfalz;Linke;111029
Bayern;Linke;201865
Baden-Wuerttemberg;Linke;182288
Saarland;Linke;109509
